STARTING!
Log parameter values verbosely: [0]
Num threads: [4]
Graph: [inception_v4.tflite]
Enable op profiling: [1]
#threads used for CPU inference: [4]
Loaded model inception_v4.tflite
INFO: Initialized TensorFlow Lite runtime.
The input model file size (MB): 170.674
Initialized session in 2.276ms.
Running benchmark for at least 1 iterations and at least 0.5 seconds but terminate if exceeding 150 seconds.
count=1 curr=534738

Running benchmark for at least 50 iterations and at least 1 seconds but terminate if exceeding 150 seconds.
count=50 first=512162 curr=537893 min=512162 max=539047 avg=522356 std=6285

Inference timings in us: Init: 2276, First inference: 534738, Warmup (avg): 534738, Inference (avg): 522356
Note: as the benchmark tool itself affects memory footprint, the following is only APPROXIMATE to the actual memory footprint of the model at runtime. Take the information at your discretion.
Peak memory footprint (MB): init=12.0156 overall=217.203
Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
	             [node type]	          [start]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	         AVERAGE_POOL_2D	          393.105	    2.413	    2.501	  0.479%	 75.744%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6f/Branch_3/AvgPool_0a_3x3/AvgPool]:115
	                 CONV_2D	          395.607	    1.391	    1.401	  0.268%	 76.012%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6f/Branch_3/Conv2d_0b_1x1/Relu]:116
	           CONCATENATION	          397.008	    0.152	    0.160	  0.031%	 76.042%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6f/concat]:117
	                 CONV_2D	          397.168	    3.693	    3.810	  0.730%	 76.772%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6g/Branch_0/Conv2d_0a_1x1/Relu]:118
	                 CONV_2D	          400.979	    1.939	    1.973	  0.378%	 77.150%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6g/Branch_1/Conv2d_0a_1x1/Relu]:119
	                 CONV_2D	          402.954	    3.264	    3.253	  0.623%	 77.773%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6g/Branch_1/Conv2d_0b_1x7/Relu]:120
	                 CONV_2D	          406.207	    4.240	    4.342	  0.832%	 78.605%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6g/Branch_1/Conv2d_0c_7x1/Relu]:121
	                 CONV_2D	          410.550	    2.008	    2.062	  0.395%	 78.999%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6g/Branch_2/Conv2d_0a_1x1/Relu]:122
	                 CONV_2D	          412.613	    2.866	    2.884	  0.552%	 79.552%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6g/Branch_2/Conv2d_0b_7x1/Relu]:123
	                 CONV_2D	          415.498	    3.175	    3.256	  0.624%	 80.175%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6g/Branch_2/Conv2d_0c_1x7/Relu]:124
	                 CONV_2D	          418.755	    3.824	    3.871	  0.741%	 80.917%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6g/Branch_2/Conv2d_0d_7x1/Relu]:125
	                 CONV_2D	          422.627	    4.203	    4.309	  0.825%	 81.742%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6g/Branch_2/Conv2d_0e_1x7/Relu]:126
	         AVERAGE_POOL_2D	          426.937	    2.493	    2.505	  0.480%	 82.222%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6g/Branch_3/AvgPool_0a_3x3/AvgPool]:127
	                 CONV_2D	          429.443	    1.352	    1.380	  0.264%	 82.486%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6g/Branch_3/Conv2d_0b_1x1/Relu]:128
	           CONCATENATION	          430.824	    0.151	    0.158	  0.030%	 82.516%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6g/concat]:129
	                 CONV_2D	          430.983	    3.753	    3.785	  0.725%	 83.241%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6h/Branch_0/Conv2d_0a_1x1/Relu]:130
	                 CONV_2D	          434.768	    1.969	    1.971	  0.377%	 83.619%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6h/Branch_1/Conv2d_0a_1x1/Relu]:131
	                 CONV_2D	          436.740	    3.142	    3.254	  0.623%	 84.242%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6h/Branch_1/Conv2d_0b_1x7/Relu]:132
	                 CONV_2D	          439.995	    4.252	    4.328	  0.829%	 85.071%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6h/Branch_1/Conv2d_0c_7x1/Relu]:133
	                 CONV_2D	          444.324	    2.021	    2.063	  0.395%	 85.466%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6h/Branch_2/Conv2d_0a_1x1/Relu]:134
	                 CONV_2D	          446.388	    2.804	    2.905	  0.556%	 86.022%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6h/Branch_2/Conv2d_0b_7x1/Relu]:135
	                 CONV_2D	          449.295	    3.185	    3.265	  0.625%	 86.648%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6h/Branch_2/Conv2d_0c_1x7/Relu]:136
	                 CONV_2D	          452.560	    3.749	    3.887	  0.744%	 87.392%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6h/Branch_2/Conv2d_0d_7x1/Relu]:137
	                 CONV_2D	          456.449	    4.200	    4.310	  0.825%	 88.217%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6h/Branch_2/Conv2d_0e_1x7/Relu]:138
	         AVERAGE_POOL_2D	          460.759	    2.457	    2.496	  0.478%	 88.696%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6h/Branch_3/AvgPool_0a_3x3/AvgPool]:139
	                 CONV_2D	          463.256	    1.365	    1.383	  0.265%	 88.960%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6h/Branch_3/Conv2d_0b_1x1/Relu]:140
	           CONCATENATION	          464.640	    0.158	    0.159	  0.031%	 88.991%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6h/concat]:141
	                 CONV_2D	          464.800	    1.961	    1.937	  0.371%	 89.362%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7a/Branch_0/Conv2d_0a_1x1/Relu]:142
	                 CONV_2D	          466.737	    0.881	    0.859	  0.165%	 89.526%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7a/Branch_0/Conv2d_1a_3x3/Relu]:143
	                 CONV_2D	          467.597	    2.585	    2.573	  0.493%	 90.019%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7a/Branch_1/Conv2d_0a_1x1/Relu]:144
	                 CONV_2D	          470.171	    4.820	    4.893	  0.937%	 90.956%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7a/Branch_1/Conv2d_0b_1x7/Relu]:145
	                 CONV_2D	          475.065	    6.027	    6.231	  1.193%	 92.150%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7a/Branch_1/Conv2d_0c_7x1/Relu]:146
	                 CONV_2D	          481.298	    2.437	    2.526	  0.484%	 92.633%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7a/Branch_1/Conv2d_1a_3x3/Relu]:147
	             MAX_POOL_2D	          483.824	    0.519	    0.524	  0.100%	 92.734%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7a/Branch_2/MaxPool_1a_3x3/MaxPool]:148
	           CONCATENATION	          484.349	    0.045	    0.047	  0.009%	 92.743%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7a/concat]:149
	                 CONV_2D	          484.396	    1.002	    1.047	  0.201%	 92.943%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7b/Branch_0/Conv2d_0a_1x1/Relu]:150
	                 CONV_2D	          485.444	    1.439	    1.497	  0.287%	 93.230%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7b/Branch_1/Conv2d_0a_1x1/Relu]:151
	                 CONV_2D	          486.942	    0.781	    0.784	  0.150%	 93.380%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7b/Branch_1/Conv2d_0b_1x3/Relu]:152
	                 CONV_2D	          487.726	    0.745	    0.770	  0.147%	 93.528%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7b/Branch_1/Conv2d_0c_3x1/Relu]:153
	           CONCATENATION	          488.497	    0.021	    0.023	  0.004%	 93.532%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7b/Branch_1/concat]:154
	                 CONV_2D	          488.521	    1.414	    1.500	  0.287%	 93.819%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7b/Branch_2/Conv2d_0a_1x1/Relu]:155
	                 CONV_2D	          490.021	    1.244	    1.330	  0.255%	 94.074%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7b/Branch_2/Conv2d_0b_3x1/Relu]:156
	                 CONV_2D	          491.352	    1.669	    1.740	  0.333%	 94.407%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7b/Branch_2/Conv2d_0c_1x3/Relu]:157
	                 CONV_2D	          493.094	    1.017	    1.056	  0.202%	 94.609%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7b/Branch_2/Conv2d_0d_1x3/Relu]:158
	                 CONV_2D	          494.151	    0.970	    1.026	  0.197%	 94.806%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7b/Branch_2/Conv2d_0e_3x1/Relu]:159
	           CONCATENATION	          495.178	    0.021	    0.022	  0.004%	 94.810%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7b/Branch_2/concat]:160
	         AVERAGE_POOL_2D	          495.200	    0.800	    0.780	  0.149%	 94.960%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7b/Branch_3/AvgPool_0a_3x3/AvgPool]:161
	                 CONV_2D	          495.981	    0.972	    0.964	  0.185%	 95.144%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7b/Branch_3/Conv2d_0b_1x1/Relu]:162
	           CONCATENATION	          496.946	    0.076	    0.077	  0.015%	 95.159%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7b/concat]:163
	                 CONV_2D	          497.023	    1.002	    0.972	  0.186%	 95.345%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7c/Branch_0/Conv2d_0a_1x1/Relu]:164
	                 CONV_2D	          497.996	    1.492	    1.466	  0.281%	 95.626%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7c/Branch_1/Conv2d_0a_1x1/Relu]:165
	                 CONV_2D	          499.463	    0.750	    0.765	  0.147%	 95.772%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7c/Branch_1/Conv2d_0b_1x3/Relu]:166
	                 CONV_2D	          500.229	    0.737	    0.749	  0.144%	 95.916%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7c/Branch_1/Conv2d_0c_3x1/Relu]:167
	           CONCATENATION	          500.979	    0.021	    0.021	  0.004%	 95.920%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7c/Branch_1/concat]:168
	                 CONV_2D	          501.001	    1.424	    1.459	  0.279%	 96.199%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7c/Branch_2/Conv2d_0a_1x1/Relu]:169
	                 CONV_2D	          502.461	    1.267	    1.297	  0.248%	 96.448%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7c/Branch_2/Conv2d_0b_3x1/Relu]:170
	                 CONV_2D	          503.759	    1.657	    1.722	  0.330%	 96.778%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7c/Branch_2/Conv2d_0c_1x3/Relu]:171
	                 CONV_2D	          505.482	    1.022	    1.045	  0.200%	 96.978%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7c/Branch_2/Conv2d_0d_1x3/Relu]:172
	                 CONV_2D	          506.528	    1.002	    1.010	  0.194%	 97.171%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7c/Branch_2/Conv2d_0e_3x1/Relu]:173
	           CONCATENATION	          507.540	    0.020	    0.022	  0.004%	 97.176%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7c/Branch_2/concat]:174
	         AVERAGE_POOL_2D	          507.562	    0.790	    0.786	  0.151%	 97.326%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7c/Branch_3/AvgPool_0a_3x3/AvgPool]:175
	                 CONV_2D	          508.349	    0.938	    0.966	  0.185%	 97.511%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7c/Branch_3/Conv2d_0b_1x1/Relu]:176
	           CONCATENATION	          509.316	    0.072	    0.076	  0.015%	 97.526%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7c/concat]:177
	                 CONV_2D	          509.392	    0.913	    0.952	  0.182%	 97.708%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7d/Branch_0/Conv2d_0a_1x1/Relu]:178
	                 CONV_2D	          510.345	    1.396	    1.452	  0.278%	 97.986%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7d/Branch_1/Conv2d_0a_1x1/Relu]:179
	                 CONV_2D	          511.797	    0.762	    0.758	  0.145%	 98.131%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7d/Branch_1/Conv2d_0b_1x3/Relu]:180
	                 CONV_2D	          512.556	    0.743	    0.744	  0.143%	 98.274%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7d/Branch_1/Conv2d_0c_3x1/Relu]:181
	           CONCATENATION	          513.301	    0.023	    0.021	  0.004%	 98.278%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7d/Branch_1/concat]:182
	                 CONV_2D	          513.323	    1.454	    1.456	  0.279%	 98.557%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7d/Branch_2/Conv2d_0a_1x1/Relu]:183
	                 CONV_2D	          514.780	    1.257	    1.299	  0.249%	 98.805%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7d/Branch_2/Conv2d_0b_3x1/Relu]:184
	                 CONV_2D	          516.080	    1.678	    1.728	  0.331%	 99.136%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7d/Branch_2/Conv2d_0c_1x3/Relu]:185
	                 CONV_2D	          517.808	    1.111	    1.052	  0.202%	 99.338%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7d/Branch_2/Conv2d_0d_1x3/Relu]:186
	                 CONV_2D	          518.862	    1.011	    1.014	  0.194%	 99.532%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7d/Branch_2/Conv2d_0e_3x1/Relu]:187
	           CONCATENATION	          519.877	    0.022	    0.021	  0.004%	 99.536%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7d/Branch_2/concat]:188
	         AVERAGE_POOL_2D	          519.898	    0.792	    0.778	  0.149%	 99.685%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7d/Branch_3/AvgPool_0a_3x3/AvgPool]:189
	                 CONV_2D	          520.677	    0.939	    0.957	  0.183%	 99.868%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7d/Branch_3/Conv2d_0b_1x1/Relu]:190
	           CONCATENATION	          521.635	    0.077	    0.075	  0.014%	 99.883%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_7d/concat]:191
	         AVERAGE_POOL_2D	          521.710	    0.080	    0.078	  0.015%	 99.898%	     0.000	        1	[InceptionV4/Logits/AvgPool_1a/AvgPool]:192
	         FULLY_CONNECTED	          521.789	    0.517	    0.520	  0.100%	 99.997%	     0.000	        1	[InceptionV4/Logits/Logits/BiasAdd]:193
	                 SOFTMAX	          522.310	    0.015	    0.014	  0.003%	100.000%	     0.000	        1	[InceptionV4/Logits/Predictions]:194

============================== Top by Computation Time ==============================
	             [node type]	          [start]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	                 CONV_2D	           15.625	   19.078	   19.164	  3.670%	  3.670%	     0.000	        1	[InceptionV4/InceptionV4/Conv2d_2b_3x3/Relu]:2
	                 CONV_2D	          202.919	   16.803	   17.494	  3.351%	  7.021%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6a/Branch_1/Conv2d_0b_3x3/Relu]:54
	                 CONV_2D	           91.668	   14.808	   15.300	  2.930%	  9.951%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_5a/Branch_0/Conv2d_1a_3x3/Relu]:13
	                 CONV_2D	          185.312	   13.837	   14.220	  2.724%	 12.675%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6a/Branch_0/Conv2d_1a_3x3/Relu]:52
	                 CONV_2D	            2.138	   13.391	   13.485	  2.583%	 15.258%	     0.000	        1	[InceptionV4/InceptionV4/Conv2d_2a_3x3/Relu]:1
	                 CONV_2D	           37.529	   11.766	   11.877	  2.275%	 17.532%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_3a/Branch_1/Conv2d_0a_3x3/Relu]:4
	                 CONV_2D	           51.964	   11.024	   11.195	  2.144%	 19.676%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_4a/Branch_0/Conv2d_1a_3x3/Relu]:7
	                 CONV_2D	           80.093	   10.779	   11.101	  2.126%	 21.803%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_4a/Branch_1/Conv2d_1a_3x3/Relu]:11
	                 CONV_2D	           72.724	    7.381	    7.367	  1.411%	 23.214%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_4a/Branch_1/Conv2d_0c_7x1/Relu]:10
	                 CONV_2D	           65.365	    7.201	    7.358	  1.409%	 24.623%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_4a/Branch_1/Conv2d_0b_1x7/Relu]:9

Number of nodes executed: 195
============================== Summary by node type ==============================
	             [Node type]	  [count]	  [avg ms]	    [avg %]	    [cdf %]	  [mem KB]	[times called]
	                 CONV_2D	      149	   477.265	    91.426%	    91.426%	     0.000	      149
	         AVERAGE_POOL_2D	       15	    34.561	     6.621%	    98.047%	     0.000	       15
	             MAX_POOL_2D	        4	     5.990	     1.147%	    99.194%	     0.000	        4
	           CONCATENATION	       25	     3.673	     0.704%	    99.898%	     0.000	       25
	         FULLY_CONNECTED	        1	     0.520	     0.100%	    99.997%	     0.000	        1
	                 SOFTMAX	        1	     0.014	     0.003%	   100.000%	     0.000	        1

Timings (microseconds): count=50 first=511912 curr=537661 min=511912 max=538806 avg=522121 std=6287
Memory (bytes): count=0
195 nodes observed
